# umem multi t=192 size=64:256 ops=19999872 alloc_failures=0
throughput_mops = 343.288
lat_p50_ns = 36
lat_p99_ns = 38
lat_p999_ns = 43
lat_max_ns = 42209913
# umem contention dump
# rseq_enabled=1 asm_safe=1 ncpus=192
cache                          cc_alloc  full_reload   empty_reld    dep_local   dep_remote   dep_conten     rseq_alloc      rseq_free   rseq_rstrt
umem_magazine_3                       0            0            0            0            0            0              0              0            0
umem_magazine_127                     0            0            0            0            0            0              0              0            0
umem_magazine_255                     0            0            0            0            0            0              0              0            0
umem_slab_cache                       0            0            0            0            0            0              0              0            0
umem_bufctl_cache                     0            0            0            0            0            0              0              0            0
umem_va_4096                          0            0            0            0            0            0              0              0            0
umem_va_32768                         0            0            0            0            0            0              0              0            0
umem_alloc_80                        94            0            0            1            0            0              0              0            0
umem_alloc_96                        93            0            0            2            0            0              0              0            0
umem_alloc_112                       92            0            0            3            0            0              0              0            0
umem_alloc_128                       91            0            0            4            0            0              0              0            0
umem_alloc_160                       89            0            0            5            0            0              0              0            0
umem_alloc_192                       88            0            0            6            0            0              0              0            0
umem_alloc_224                       88            0            0            7            0            0              0              0            0
umem_alloc_256                       87            0            0            8            0            0              0              0            0
umem_alloc_320                       85            0            0            9            0            0              0              0            0
umem_alloc_32768                      0            0            0           70            0            0              0              0            0
