# umem-preload prodcons t=8 size=16:64 ops=20000000 alloc_failures=0
throughput_mops = 15.320
lat_p50_ns = 80
lat_p99_ns = 172
lat_p999_ns = 1029
lat_max_ns = 142317
# umem contention dump
# rseq_enabled=1 asm_safe=1 ncpus=8
cache                          cc_alloc  full_reload   empty_reld    dep_local   dep_remote   dep_conten     rseq_alloc      rseq_free   rseq_rstrt
umem_magazine_3                       0            0            0            0            0            0              0              0            0
umem_magazine_15                      0            0            0            0            0            0              0              0            0
umem_magazine_255                     0            0            0            0            0            0              0              0            0
umem_slab_cache                       0            0            0            0            0            0              0              0            0
umem_bufctl_cache                     0            0            0            0            0            0              0              0            0
umem_va_4096                          0            0            0            0            0            0              0              0            0
umem_va_8192                          0            0            0            0            0            0              0              0            0
umem_va_12288                         0            0            0            0            0            0              0              0            0
umem_va_16384                         0            0            0            0            0            0              0              0            0
umem_va_20480                         0            0            0            0            0            0              0              0            0
umem_va_24576                         0            0            0            0            0            0              0              0            0
umem_va_28672                         0            0            0            0            0            0              0              0            0
umem_va_32768                         0            0            0            0            0            0              0              0            0
umem_alloc_16                         0            0            0            0            0            0              0              0            0
umem_alloc_32                       160            0            0           29         1602            2              0              0            0
umem_alloc_48                      1403            0            0           34        26032           20              0              0            0
umem_alloc_64                      1240            0            0           36        26039           14              0              0            0
umem_alloc_80                      2011            0            0           35        24412            1              0              0            0
umem_alloc_96                         0            0            0            0            0            0              0              0            0
umem_alloc_112                        0            0            0            0            0            0              0              0            0
umem_alloc_128                        0            0            0            0            0            0              0              0            0
umem_alloc_160                        0            0            0            0            0            0              0              0            0
umem_alloc_192                        0            0            0            0            0            0              0              0            0
umem_alloc_320                        0            0            0            0            0            0              0              0            0
umem_alloc_512                        0            0            0            0            0            0              0              0            0
umem_alloc_640                        0            0            0            0            0            0              0              0            0
umem_alloc_768                        0            0            0            0            0            0              0              0            0
umem_alloc_1024                       0            0            0            0            0            0              0              0            0
umem_alloc_1280                       0            0            0            0            0            0              0              0            0
umem_alloc_1536                       0            0            0            0            0            0              0              0            0
umem_alloc_1792                       0            0            0            0            0            0              0              0            0
umem_alloc_2048                       0            0            0            0            0            0              0              0            0
umem_alloc_2560                       0            0            0            0            0            0              0              0            0
umem_alloc_4096                       0            0            0            0            0            0              0              0            0
umem_alloc_5120                       1            0            0            2            0            0              0              0            0
umem_alloc_24576                      0            0            0            8            0            0              0              0            0
umem_alloc_73728                      0            0            0            0            0            0              0              0            0
umem_alloc_81920                      0            0            0            0            0            0              0              0            0
