# umem-preload multi t=192 size=64:256 ops=199999872 alloc_failures=0
throughput_mops = 429.435
lat_p50_ns = 39
lat_p99_ns = 41
lat_p999_ns = 81
lat_max_ns = 230804672
# umem contention dump
# rseq_enabled=1 asm_safe=1 ncpus=192
cache                          cc_alloc  full_reload   empty_reld    dep_local   dep_remote   dep_conten     rseq_alloc      rseq_free   rseq_rstrt
umem_magazine_3                       0            0            0            0            0            0              0              0            0
umem_magazine_7                       0            0            0            0            0            0              0              0            0
umem_magazine_15                      0            0            0            0            0            0              0              0            0
umem_magazine_127                     0            0            0            0            0            0              0              0            0
umem_magazine_255                     0            0            0            0            0            0              0              0            0
umem_slab_cache                       0            0            0            0            0            0              0              0            0
umem_bufctl_cache                     0            0            0            0            0           10              0              0            0
umem_va_4096                          0            0            0            0            0            0              0              0            0
umem_va_8192                          0            0            0            0            0            0              0              0            0
umem_va_12288                         0            0            0            0            0            0              0              0            0
umem_va_16384                         0            0            0            0            0            0              0              0            0
umem_va_20480                         0            0            0            0            0            0              0              0            0
umem_va_24576                         0            0            0            0            0            0              0              0            0
umem_va_28672                         0            0            0            0            0            0              0              0            0
umem_va_32768                         0            0            0            0            0            0              0              0            0
umem_alloc_16                         0            0            0            0            0            0              0              0            0
umem_alloc_32                         0            0            0            0            0            0              0              0            0
umem_alloc_48                         0            0            0            0            0            0              0              0            0
umem_alloc_64                         0            0            0            0            0            0              0              0            0
umem_alloc_80                        41            0            0           96            0            0              0              0            0
umem_alloc_96                        44            0            0           93            0            0              0              0            0
umem_alloc_112                       42            0            0           90            0            0              0              0            0
umem_alloc_128                       42            0            0           89            0            0              0              0            0
umem_alloc_160                       41            0            0           89            0            0              0              0            0
umem_alloc_192                       41            0            0           89            0            0              0              0            0
umem_alloc_224                       41            0            0           89            0            0              0              0            0
umem_alloc_256                       41            0            0           89            0            0              0              0            0
umem_alloc_320                       41            0            0           89            0            0              0              0            0
umem_alloc_512                        0            0            0            2            0            0              0              0            0
umem_alloc_640                        0            0            0            0            0            0              0              0            0
umem_alloc_1024                       0            0            0            0            0            0              0              0            0
umem_alloc_1280                       0            0            0            0            0            0              0              0            0
umem_alloc_1536                       0            0            0            0            0            0              0              0            0
umem_alloc_1792                       0            0            0            0            0            0              0              0            0
umem_alloc_2048                       0            0            0            0            0            0              0              0            0
umem_alloc_2560                       0            0            0            0            0            0              0              0            0
umem_alloc_4096                       0            0            0            0            0            0              0              0            0
umem_alloc_5120                       1            0            0           26            0            0              0              0            0
umem_alloc_16384                      0            0            0            1            0            0              0              0            0
umem_alloc_24576                      0            0            0           96            0           21              0              0            0
umem_alloc_73728                      0            0            0            0            0            0              0              0            0
umem_alloc_81920                      0            0            0            0            0            0              0              0            0
