# umem-preload multi t=192 size=256:1024 ops=199999872 alloc_failures=0
throughput_mops = 275.825
lat_p50_ns = 35
lat_p99_ns = 113
lat_p999_ns = 175
lat_max_ns = 376828784
# umem contention dump
# rseq_enabled=1 asm_safe=1 ncpus=192
cache                          cc_alloc  full_reload   empty_reld    dep_local   dep_remote   dep_conten     rseq_alloc      rseq_free   rseq_rstrt
umem_magazine_3                       0            0            0            0            0            0              0              0            0
umem_magazine_7                       0            0            0            0            0            0              0              0            0
umem_magazine_15                      0            0            0            0            0            0              0              0            0
umem_magazine_63                      0            0            0            0            0            0              0              0            0
umem_magazine_127                     0            0            0            0            0            0              0              0            0
umem_magazine_255                     0            0            0            0            0            0              0              0            0
umem_slab_cache                       0            0            0            0            0            1              0              0            0
umem_bufctl_cache                     0            0            0            0            0          395              0              0            0
umem_va_4096                          0            0            0            0            0            0              0              0            0
umem_va_8192                          0            0            0            0            0            0              0              0            0
umem_va_12288                         0            0            0            0            0            0              0              0            0
umem_va_16384                         0            0            0            0            0            0              0              0            0
umem_va_20480                         0            0            0            0            0            0              0              0            0
umem_va_24576                         0            0            0            0            0            0              0              0            0
umem_va_28672                         0            0            0            0            0            0              0              0            0
umem_va_32768                         0            0            0            0            0            0              0              0            0
umem_alloc_16                         0            0            0            0            0            0              0              0            0
umem_alloc_32                         0            0            0            0            0            0              0              0            0
umem_alloc_48                         0            0            0            0            0            0              0              0            0
umem_alloc_64                         0            0            0            0            0            0              0              0            0
umem_alloc_80                         0            0            0            0            0            0              0              0            0
umem_alloc_96                         0            0            0            1            0            0              0              0            0
umem_alloc_112                        0            0            0            0            0            0              0              0            0
umem_alloc_128                        0            0            0            0            0            0              0              0            0
umem_alloc_160                        0            0            0            0            0            0              0              0            0
umem_alloc_192                        0            0            0            0            0            0              0              0            0
umem_alloc_256                        0            0            0            0            0            0              0              0            0
umem_alloc_320                       32            0            0           94            0            1              0              0            0
umem_alloc_384                       35            0            0           89            0            0              0              0            0
umem_alloc_448                       36            0            0           87            0            0              0              0            0
umem_alloc_512                       36            0            0           85            0            2              0              0            0
umem_alloc_640                       36            0            0           85            0            1              0              0            0
umem_alloc_768                       36            0            0           85            0            0              0              0            0
umem_alloc_896                       36            0            0           85            0            0              0              0            0
umem_alloc_1024                      36            0            0           85            0            0              0              0            0
umem_alloc_1280                      37            0            0           85            0            0              0              0            0
umem_alloc_1792                       0            0            0            0            0            0              0              0            0
umem_alloc_2048                       0            0            0            0            0            0              0              0            0
umem_alloc_2560                       0            0            0            0            0            0              0              0            0
umem_alloc_4096                       0            0            0            0            0            0              0              0            0
umem_alloc_5120                       1            0            0           26            0            0              0              0            0
umem_alloc_16384                      0            0            0            1            0            0              0              0            0
umem_alloc_24576                      0            0            0          100            0            7              0              0            0
umem_alloc_73728                      0            0            0            0            0            0              0              0            0
umem_alloc_81920                      0            0            0            0            0            0              0              0            0
